Target ID,Title,Live Site Status,QA Result,QA Issue - Content,QA Issue - Appearence,QA Issue - Functionality,Open Access,Primary URL,Other URLs
13905,North Ayrshire Council,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.north-ayrshire.gov.uk/,[]
15985,NHS Lanarkshire,LIVE,QA issues found,True,False,True,True,http://www.nhslanarkshire.org.uk/,['http://www.nhslanarkshire.org.uk/mapsite/Pages/default.aspx']
15979,NHS Dumfries & Galloway,LIVE,QA issues found,True,False,False,True,http://www.nhsdg.scot.nhs.uk/Dumfries_and_Galloway_NHS,['http://www.nhsdg.scot.nhs.uk/sitemap.xml']
15983,NHS Greater Glasgow and Clyde,LIVE,QA issues found,False,False,False,True,http://www.nhsggc.org.uk/,['http://www.nhsggc.org.uk/seo-sitemap']
48263,NHS Borders,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.nhsborders.scot.nhs.uk/patients-and-visitors/,[]
16047,NHS Education for Scotland (NES),LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.nes.scot.nhs.uk/,['http://www.nes.scot.nhs.uk/sitemap.aspx']
16029,Mental Welfare Commission for Scotland,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.mwcscot.org.uk/,['http://www.mwcscot.org.uk/cultivsearchenginesitemap.aspx']
13903,Midlothian Council,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.midlothian.gov.uk/,"['https://www.midlothian.gov.uk/images', 'https://www.midlothian.gov.uk/sitemap.xml']"
56563,Judicial Appointments Board for Scotland,LIVE,"QA issues, but OK to publish",False,False,False,True,https://www.judicialappointments.scot/,['https://www.judicialappointments.scot/sites/all/themes']
48262,Judicial Appointments Board for Scotland,LIVE,"QA issues, but OK to publish",False,False,False,True,https://www.judicialappointmentsscotland.gov.uk/,[]
15951,Her Majesty's Inspectorate of Constabulary in Scotland (HMICS),LIVE,QA issues found,False,False,False,True,http://www.hmics.org/,['http://www.hmics.org/sitemap/']
3007,Bòrd na Gàidhlig ,DEAD,"QA issues, but OK to publish",False,False,False,True,http://www.gaidhlig.org.uk/,[]
13897,Falkirk Council,LIVE,No QA issues found (OK to publish),False,False,False,True,https://www.falkirk.gov.uk/,[]
